Date, Open, High, Low, Close
06/29/20, 25152.45, 25601.15, 25096.16, 25595.80
06/26/20, 25641.69, 25641.69, 24971.03, 25015.55
06/25/20, 25365.22, 25769.61, 25209.79, 25745.60
06/24/20, 25992.96, 25992.96, 25296.73, 25445.94
06/23/20, 26159.39, 26314.97, 26105.97, 26156.10
06/22/20, 25865.08, 26059.81, 25667.68, 26024.96
06/19/20, 26213.10, 26451.44, 25759.66, 25871.46
06/18/20, 26016.45, 26154.20, 25848.53, 26080.10
06/17/20, 26330.52, 26400.07, 26068.41, 26119.61
06/16/20, 26326.68, 26611.03, 25811.70, 26289.98
06/15/20, 25270.39, 25891.58, 24843.18, 25763.16
06/12/20, 25659.42, 25965.55, 25078.41, 25605.54
06/11/20, 26282.51, 26294.08, 25082.72, 25128.17
06/10/20, 27251.89, 27355.22, 26938.05, 26989.99
06/09/20, 27447.37, 27447.37, 27151.06, 27272.30
06/08/20, 27232.93, 27580.21, 27232.48, 27572.44
06/05/20, 26836.80, 27338.30, 26836.80, 27110.98
06/04/20, 26226.49, 26384.10, 26082.31, 26281.82
06/03/20, 25906.88, 26337.75, 25906.88, 26269.89
06/02/20, 25582.52, 25743.13, 25523.74, 25742.65
06/01/20, 25342.99, 25508.83, 25220.66, 25475.02
05/29/20, 25324.15, 25482.80, 25031.67, 25383.11
05/28/20, 25697.36, 25758.79, 25358.73, 25400.64
05/27/20, 25298.63, 25551.56, 25009.87, 25548.27
05/26/20, 24781.84, 25176.42, 24781.84, 24995.11
05/22/20, 24461.98, 24481.64, 24294.07, 24465.16
05/21/20, 24564.27, 24718.46, 24370.88, 24474.12
05/20/20, 24455.94, 24649.48, 24455.94, 24575.90
05/19/20, 24577.48, 24599.50, 24202.96, 24206.86
05/18/20, 24059.98, 24708.54, 24059.98, 24597.37
05/15/20, 23454.83, 23730.08, 23354.15, 23685.42
05/14/20, 23049.06, 23630.86, 22789.62, 23625.34
05/13/20, 23702.16, 23708.90, 23067.64, 23247.97
05/12/20, 24292.84, 24382.09, 23761.58, 23764.78
05/11/20, 24256.45, 24366.21, 24070.22, 24221.99
05/08/20, 24107.82, 24349.90, 24107.05, 24331.32
05/07/20, 23837.21, 24094.62, 23834.39, 23875.89
05/06/20, 23978.88, 24054.59, 23661.14, 23664.64
05/05/20, 23958.88, 24169.72, 23868.91, 23883.09
05/04/20, 23581.55, 23769.56, 23361.16, 23749.76
05/01/20, 24120.78, 24120.78, 23645.30, 23723.69
04/30/20, 24585.57, 24585.57, 24186.90, 24345.72
04/29/20, 24490.37, 24764.77, 24453.99, 24633.86
04/28/20, 24357.17, 24512.24, 24031.20, 24101.55
04/27/20, 23866.15, 24207.65, 23840.61, 24133.78
04/24/20, 23628.24, 23826.00, 23417.68, 23775.27
04/23/20, 23543.09, 23885.36, 23483.35, 23515.26
04/22/20, 23437.34, 23613.10, 23339.60, 23475.82
04/21/20, 23365.25, 23365.25, 22941.88, 23018.88
04/20/20, 24095.10, 24108.69, 23627.19, 23650.44
04/17/20, 23817.15, 24264.21, 23817.15, 24242.49
04/16/20, 23543.66, 23598.08, 23211.38, 23537.68
04/15/20, 23600.72, 23649.72, 23233.32, 23504.35
04/14/20, 23690.57, 24040.58, 23683.44, 23949.76
04/13/20, 23698.93, 23698.93, 23095.35, 23390.77
04/09/20, 23690.66, 24008.99, 23504.09, 23719.37
04/08/20, 22893.47, 23513.40, 22682.99, 23433.57
04/07/20, 23537.44, 23617.24, 22634.45, 22653.86
04/06/20, 21693.63, 22783.45, 21693.63, 22679.99
04/03/20, 21285.93, 21447.81, 20863.09, 21052.53
04/02/20, 20819.46, 21477.77, 20735.02, 21413.44
04/01/20, 21227.38, 21487.24, 20784.43, 20943.51
03/31/20, 22208.42, 22480.37, 21852.08, 21917.16
03/30/20, 21678.22, 22378.09, 21522.08, 22327.48
03/27/20, 21898.47, 22327.57, 21469.27, 21636.78
03/26/20, 21468.38, 22595.06, 21427.10, 22552.17
03/25/20, 21050.34, 22019.93, 20538.34, 21200.55
03/24/20, 19722.19, 20737.70, 19649.25, 20704.91
03/23/20, 19028.36, 19121.01, 18213.65, 18591.93
03/20/20, 20253.15, 20531.26, 19094.27, 19173.98
03/19/20, 19830.01, 20442.63, 19177.13, 20087.19
03/18/20, 20188.69, 20489.33, 18917.46, 19898.92
03/17/20, 20487.05, 21379.35, 19882.26, 21237.38
03/16/20, 20917.53, 21768.28, 20116.46, 20188.52
03/13/20, 21973.82, 23189.76, 21285.37, 23185.62
03/12/20, 22184.71, 22837.95, 21154.46, 21200.62
03/11/20, 24604.63, 24604.63, 23328.32, 23553.22
03/10/20, 24453.00, 25020.99, 23690.34, 25018.16
03/09/20, 24992.36, 24992.36, 23706.07, 23851.02
03/06/20, 25457.21, 25994.38, 25226.62, 25864.78
03/05/20, 26671.92, 26671.92, 25943.33, 26121.28
03/04/20, 26383.68, 27102.34, 26286.31, 27090.86
03/03/20, 26762.47, 27084.59, 25706.28, 25917.41
03/02/20, 25590.51, 26706.17, 25391.96, 26703.32
02/28/20, 25270.83, 25494.24, 24681.01, 25409.36
02/27/20, 26526.00, 26775.31, 25752.82, 25766.64
02/26/20, 27159.46, 27542.78, 26890.97, 26957.59
02/25/20, 28037.65, 28149.20, 26997.62, 27081.36
02/24/20, 28402.93, 28402.93, 27912.44, 27960.80
02/21/20, 29146.53, 29146.53, 28892.70, 28992.41
02/20/20, 29296.25, 29368.45, 28959.65, 29219.98
02/19/20, 29312.70, 29409.09, 29274.38, 29348.03
02/18/20, 29282.78, 29330.16, 29116.81, 29232.19
02/14/20, 29440.47, 29463.04, 29283.18, 29398.08
02/13/20, 29436.03, 29535.40, 29345.93, 29423.31
02/12/20, 29406.75, 29568.57, 29406.75, 29551.42
02/11/20, 29390.71, 29415.39, 29210.47, 29276.34
02/10/20, 28995.66, 29278.07, 28995.66, 29276.82
02/07/20, 29286.92, 29286.92, 29056.98, 29102.51
02/06/20, 29388.58, 29408.05, 29246.93, 29379.77
02/05/20, 29048.73, 29308.89, 29000.85, 29290.85
02/04/20, 28696.74, 28904.88, 28696.74, 28807.63
02/03/20, 28319.65, 28630.39, 28319.65, 28399.81
01/31/20, 28813.04, 28813.04, 28169.53, 28256.03
01/30/20, 28640.16, 28879.71, 28489.76, 28859.44
01/29/20, 28820.53, 28944.24, 28728.19, 28734.45
01/28/20, 28594.28, 28823.23, 28575.75, 28722.85
01/27/20, 28542.49, 28671.79, 28440.47, 28535.80
01/24/20, 29230.39, 29288.79, 28843.31, 28989.73
01/23/20, 29111.02, 29190.47, 28966.98, 29160.09
01/22/20, 29263.63, 29320.20, 29172.26, 29186.27
01/21/20, 29269.05, 29341.21, 29146.47, 29196.04
01/17/20, 29313.31, 29373.62, 29289.91, 29348.10
01/16/20, 29131.95, 29300.32, 29131.95, 29297.64
01/15/20, 28901.80, 29127.59, 28897.35, 29030.22
01/14/20, 28895.50, 29054.16, 28872.27, 28939.67
01/13/20, 28869.01, 28909.91, 28819.43, 28907.05
01/10/20, 28977.52, 29009.07, 28789.10, 28823.77
01/09/20, 28851.97, 28988.01, 28844.31, 28956.90
01/08/20, 28556.14, 28866.18, 28522.51, 28745.09
01/07/20, 28639.18, 28685.50, 28565.28, 28583.68
01/06/20, 28465.50, 28708.02, 28418.63, 28703.38
01/03/20, 28553.33, 28716.31, 28500.36, 28634.88
01/02/20, 28638.97, 28872.80, 28627.77, 28868.80
12/31/19, 28414.64, 28547.35, 28376.49, 28538.44
12/30/19, 28654.76, 28664.69, 28428.98, 28462.14
12/27/19, 28675.34, 28701.66, 28608.98, 28645.26
12/26/19, 28539.46, 28624.10, 28535.15, 28621.39
12/24/19, 28572.57, 28576.80, 28503.21, 28515.45
12/23/19, 28491.78, 28582.49, 28491.78, 28551.53
12/20/19, 28608.64, 28608.64, 28445.60, 28455.09
12/19/19, 28278.31, 28381.48, 28278.24, 28376.96
12/18/19, 28291.44, 28323.25, 28239.28, 28239.28
12/17/19, 28221.75, 28328.63, 28220.56, 28267.16
12/16/19, 28191.67, 28337.49, 28191.67, 28235.89
12/13/19, 28123.64, 28290.73, 28028.32, 28135.38
12/12/19, 27898.34, 28224.95, 27859.87, 28132.05
12/11/19, 27867.31, 27925.50, 27801.80, 27911.30
12/10/19, 27900.65, 27949.02, 27804.00, 27881.72
12/09/19, 27987.05, 28010.42, 27906.14, 27909.60
12/06/19, 27839.68, 28035.85, 27839.68, 28015.06
12/05/19, 27736.05, 27745.20, 27562.80, 27677.79
12/04/19, 27634.63, 27727.45, 27612.08, 27649.78
12/03/19, 27501.98, 27524.74, 27325.13, 27502.81
12/02/19, 28109.74, 28109.84, 27782.35, 27783.04
11/29/19, 28103.16, 28119.51, 28042.53, 28051.41
11/27/19, 28156.47, 28174.97, 28075.23, 28164.00
11/26/19, 28080.75, 28146.02, 28042.21, 28121.68
11/25/19, 27917.77, 28068.69, 27917.77, 28066.47
11/22/19, 27831.23, 27898.46, 27773.98, 27875.62
11/21/19, 27820.28, 27828.33, 27708.34, 27766.29
11/20/19, 27879.55, 27897.28, 27675.28, 27821.09
11/19/19, 28079.76, 28090.21, 27894.52, 27934.02
11/18/19, 27993.22, 28040.97, 27969.24, 28036.22
11/15/19, 27843.54, 28004.89, 27843.54, 28004.89
11/14/19, 27757.20, 27800.71, 27676.97, 27781.96
11/13/19, 27622.04, 27806.40, 27587.20, 27783.59
11/12/19, 27701.59, 27770.86, 27635.32, 27691.49
11/11/19, 27580.66, 27714.39, 27517.67, 27691.49
11/08/19, 27686.20, 27694.95, 27578.97, 27681.24
11/07/19, 27590.16, 27774.67, 27590.16, 27674.80
11/06/19, 27502.74, 27526.05, 27407.81, 27492.56
11/05/19, 27500.23, 27560.36, 27453.55, 27492.63
11/04/19, 27402.06, 27517.58, 27402.06, 27462.11
11/01/19, 27142.95, 27347.43, 27142.95, 27347.36
10/31/19, 27188.37, 27188.37, 26918.29, 27046.23
10/30/19, 27110.71, 27204.36, 26999.64, 27186.69
10/29/19, 27061.07, 27165.94, 27039.76, 27071.42
10/28/19, 27040.33, 27167.88, 27028.71, 27090.72
10/25/19, 26789.61, 27015.37, 26765.68, 26958.06
10/24/19, 26893.93, 26931.78, 26714.34, 26805.53
10/23/19, 26835.24, 26896.89, 26745.00, 26833.95
10/22/19, 26850.43, 26946.64, 26782.61, 26788.10
10/21/19, 26852.67, 26852.67, 26747.62, 26827.64
10/18/19, 27004.49, 27018.25, 26770.13, 26770.20
10/17/19, 27032.38, 27112.16, 26970.29, 27025.88
10/16/19, 26972.31, 27058.34, 26943.29, 27001.98
10/15/19, 26811.20, 27120.11, 26811.20, 27024.80
10/14/19, 26766.43, 26874.33, 26749.18, 26787.36
10/11/19, 26694.20, 27013.97, 26694.20, 26816.59
10/10/19, 26317.35, 26603.31, 26314.51, 26496.67
10/09/19, 26308.23, 26424.31, 26249.75, 26346.01
10/08/19, 26276.59, 26421.81, 26139.80, 26164.04
10/07/19, 26502.33, 26655.84, 26424.54, 26478.02
10/04/19, 26271.70, 26590.74, 26271.70, 26573.72
10/03/19, 26039.02, 26205.20, 25743.46, 26201.04
10/02/19, 26425.86, 26438.04, 25974.12, 26078.62
10/01/19, 26962.54, 27046.21, 26562.22, 26573.04
09/30/19, 26852.33, 26998.86, 26852.33, 26916.83
09/27/19, 26987.26, 27012.54, 26715.82, 26820.25
09/26/19, 27004.11, 27015.07, 26803.84, 26891.12
09/25/19, 26866.71, 27016.56, 26755.86, 26970.71
09/24/19, 27034.07, 27079.68, 26704.96, 26807.77
09/23/19, 26851.45, 27011.07, 26831.34, 26949.99
09/20/19, 27102.18, 27194.75, 26926.68, 26935.07
09/19/19, 27186.05, 27272.17, 27064.21, 27094.79
09/18/19, 27075.39, 27161.93, 26899.15, 27147.08
09/17/19, 27010.12, 27110.80, 26984.14, 27110.80
09/16/19, 27146.06, 27172.87, 27032.56, 27076.82
09/13/19, 27216.67, 27277.55, 27193.95, 27219.52
09/12/19, 27197.32, 27306.73, 27105.01, 27182.45
09/11/19, 26928.05, 27137.04, 26885.48, 27137.04
09/10/19, 26805.83, 26909.43, 26717.05, 26909.43
09/09/19, 26866.23, 26900.83, 26762.18, 26835.51
09/06/19, 26790.25, 26860.87, 26708.39, 26797.46
09/05/19, 26603.15, 26836.30, 26603.15, 26728.15
09/04/19, 26301.99, 26362.35, 26244.44, 26355.47
09/03/19, 26198.26, 26198.26, 25978.22, 26118.02
08/30/19, 26476.39, 26514.62, 26295.59, 26403.28
08/29/19, 26249.09, 26408.84, 26185.71, 26362.25
08/28/19, 25712.99, 26041.57, 25637.43, 26036.10
08/27/19, 26014.46, 26054.02, 25721.85, 25777.90
08/26/19, 25826.05, 25941.25, 25716.39, 25898.83
08/23/19, 26134.21, 26320.29, 25507.18, 25628.90
08/22/19, 26271.64, 26388.78, 26099.01, 26252.24
08/21/19, 26145.36, 26268.32, 26141.77, 26202.73
08/20/19, 26086.86, 26160.12, 25952.00, 25962.44
08/19/19, 26020.06, 26222.32, 26020.06, 26135.79
08/16/19, 25678.17, 25929.65, 25678.17, 25886.01
08/15/19, 25514.25, 25639.69, 25339.60, 25579.39
08/14/19, 26035.08, 26035.08, 25471.59, 25479.42
08/13/19, 25888.88, 26426.97, 25833.25, 26279.91
08/12/19, 26169.91, 26178.95, 25824.94, 25907.37
08/09/19, 26337.09, 26413.36, 26097.64, 26287.44
08/08/19, 26086.52, 26383.61, 26038.10, 26378.19
08/07/19, 25814.22, 26073.21, 25440.39, 26007.07
08/06/19, 25810.62, 26038.68, 25710.87, 26029.52
08/05/19, 26259.23, 26259.23, 25523.38, 25717.74
08/02/19, 26528.66, 26570.02, 26249.22, 26485.01
08/01/19, 26879.86, 27175.59, 26548.71, 26583.42
07/31/19, 27244.67, 27281.65, 26719.60, 26864.27
07/30/19, 27145.39, 27224.36, 27069.86, 27198.02
07/29/19, 27192.24, 27275.85, 27178.06, 27221.35
07/26/19, 27166.00, 27213.70, 27123.25, 27192.45
07/25/19, 27247.39, 27298.43, 27062.48, 27140.98
07/24/19, 27262.24, 27291.04, 27191.12, 27269.97
07/23/19, 27231.86, 27368.81, 27204.58, 27349.19
07/22/19, 27174.18, 27227.77, 27088.90, 27171.90
07/19/19, 27246.38, 27342.96, 27145.78, 27154.20
07/18/19, 27191.98, 27266.81, 27068.79, 27222.97
07/17/19, 27320.91, 27343.06, 27218.38, 27219.85
07/16/19, 27349.32, 27398.68, 27290.24, 27335.63
07/15/19, 27364.69, 27364.69, 27294.17, 27359.16
07/12/19, 27139.49, 27333.79, 27135.45, 27332.03
07/11/19, 26950.16, 27088.45, 26916.32, 27088.08
07/10/19, 26851.96, 26983.45, 26813.11, 26860.20
07/09/19, 26725.12, 26807.70, 26665.57, 26783.49
07/08/19, 26835.64, 26839.14, 26744.87, 26806.14
07/05/19, 26867.75, 26950.81, 26733.33, 26922.12
07/03/19, 26832.32, 26966.00, 26831.44, 26966.00
07/02/19, 26719.53, 26787.56, 26632.65, 26786.68
07/01/19, 26805.86, 26890.64, 26616.21, 26717.43
06/28/19, 26605.93, 26638.35, 26522.27, 26599.96
06/27/19, 26523.72, 26607.24, 26465.32, 26526.58
06/26/19, 26599.42, 26660.04, 26536.33, 26536.82
06/25/19, 26731.61, 26752.31, 26527.66, 26548.22
06/24/19, 26727.61, 26806.52, 26723.37, 26727.54
06/21/19, 26749.12, 26907.37, 26705.87, 26719.13
06/20/19, 26665.38, 26798.63, 26539.69, 26753.17
06/19/19, 26490.16, 26569.75, 26415.05, 26504.00
06/18/19, 26228.88, 26527.19, 26227.76, 26465.54
06/17/19, 26108.53, 26165.78, 26049.80, 26112.53
06/14/19, 26076.36, 26162.28, 25988.09, 26089.61
06/13/19, 26036.94, 26146.91, 25995.71, 26106.77
06/12/19, 26040.30, 26082.10, 25958.66, 26004.83
06/11/19, 26180.59, 26248.67, 25998.87, 26048.51
06/10/19, 26090.22, 26210.61, 26054.31, 26062.68
06/07/19, 25768.72, 26072.75, 25768.72, 25983.94
06/06/19, 25567.45, 25800.30, 25518.05, 25720.66
06/05/19, 25451.00, 25544.66, 25373.58, 25539.57
06/04/19, 24962.82, 25343.77, 24962.82, 25332.18
06/03/19, 24830.16, 24935.21, 24680.57, 24819.78
05/31/19, 25046.31, 25046.31, 24809.51, 24815.04
05/30/19, 25139.94, 25218.54, 25066.75, 25169.88
05/29/19, 25231.46, 25231.46, 24938.24, 25126.41
05/28/19, 25616.55, 25717.63, 25342.28, 25347.77
05/24/19, 25551.07, 25670.81, 25496.20, 25585.69
05/23/19, 25657.99, 25657.99, 25328.09, 25490.47
05/22/19, 25818.46, 25878.21, 25755.11, 25776.61
05/21/19, 25782.34, 25898.27, 25779.61, 25877.33
05/20/19, 25655.31, 25751.71, 25560.55, 25679.90
05/17/19, 25719.95, 25948.74, 25657.78, 25764.00
05/16/19, 25692.14, 25957.63, 25692.14, 25862.68
05/15/19, 25400.13, 25724.89, 25341.94, 25648.02
05/14/19, 25384.03, 25688.96, 25384.03, 25532.05
05/13/19, 25568.06, 25568.06, 25222.51, 25324.99
05/10/19, 25763.72, 26019.32, 25469.86, 25942.37
05/09/19, 25878.85, 25884.89, 25517.39, 25828.36
05/08/19, 25933.79, 26118.10, 25889.41, 25967.33
05/07/19, 26276.90, 26276.90, 25789.71, 25965.09
05/06/19, 26160.62, 26476.27, 26033.95, 26438.48
05/03/19, 26379.14, 26534.96, 26370.09, 26504.95
05/02/19, 26407.15, 26454.69, 26180.36, 26307.79
05/01/19, 26639.06, 26689.39, 26426.38, 26430.14
04/30/19, 26594.56, 26614.04, 26419.47, 26592.91
04/29/19, 26559.87, 26602.54, 26520.75, 26554.39
04/26/19, 26454.62, 26543.56, 26392.55, 26543.33
04/25/19, 26426.37, 26536.48, 26310.28, 26462.08
04/24/19, 26652.56, 26680.58, 26582.86, 26597.05
04/23/19, 26513.83, 26695.96, 26503.56, 26656.39
04/22/19, 26510.77, 26553.05, 26458.61, 26511.05
04/18/19, 26463.37, 26602.42, 26444.53, 26559.54
04/17/19, 26468.53, 26501.02, 26391.86, 26449.54
04/16/19, 26482.19, 26530.71, 26397.19, 26452.66
04/15/19, 26407.76, 26424.85, 26316.42, 26384.77
04/12/19, 26357.79, 26436.68, 26309.72, 26412.30
04/11/19, 26188.21, 26229.88, 26062.59, 26143.05
04/10/19, 26173.71, 26209.49, 26101.24, 26157.16
04/09/19, 26243.54, 26246.34, 26103.14, 26150.58
04/08/19, 26312.67, 26344.65, 26246.03, 26341.02
04/05/19, 26427.56, 26487.57, 26370.82, 26424.99
04/04/19, 26213.42, 26398.90, 26212.78, 26384.63
04/03/19, 26238.03, 26282.17, 26138.47, 26218.13
04/02/19, 26213.55, 26221.24, 26122.31, 26179.13
04/01/19, 26075.10, 26280.90, 26071.69, 26258.42
03/29/19, 25827.31, 25949.32, 25771.67, 25928.68
03/28/19, 25693.32, 25743.41, 25576.69, 25717.46
03/27/19, 25676.34, 25758.17, 25425.27, 25625.59
03/26/19, 25649.56, 25796.29, 25544.78, 25657.73
03/25/19, 25490.72, 25603.27, 25372.26, 25516.83
03/22/19, 25844.65, 25877.01, 25501.45, 25502.32
03/21/19, 25688.44, 26009.90, 25657.78, 25962.51
03/20/19, 25867.79, 25929.52, 25670.63, 25745.67
03/19/19, 25987.87, 26109.68, 25814.92, 25887.38
03/18/19, 25801.88, 25924.77, 25785.66, 25914.10
03/15/19, 25720.96, 25927.91, 25649.70, 25848.87
03/14/19, 25692.31, 25752.84, 25621.31, 25709.94
03/13/19, 25637.23, 25776.49, 25571.31, 25702.89
03/12/19, 25600.30, 25675.44, 25522.17, 25554.66
03/11/19, 25208.00, 25661.63, 25208.00, 25650.88
03/08/19, 25347.38, 25466.14, 25252.46, 25450.24
03/07/19, 25645.45, 25645.45, 25352.55, 25473.23
03/06/19, 25818.76, 25837.61, 25633.71, 25673.46
03/05/19, 25829.07, 25877.15, 25725.63, 25806.63
03/04/19, 26122.19, 26155.98, 25611.55, 25819.65
03/01/19, 26019.67, 26143.92, 25914.37, 26026.32
02/28/19, 25984.28, 26029.21, 25896.56, 25916.00
02/27/19, 25995.60, 26039.68, 25877.24, 25985.16
02/26/19, 26051.61, 26155.29, 25966.01, 26057.98
02/25/19, 26126.15, 26241.42, 26080.66, 26091.95
02/22/19, 25906.27, 26052.90, 25906.27, 26031.81
02/21/19, 25922.41, 25938.88, 25762.21, 25850.63
02/20/19, 25872.26, 25986.20, 25846.48, 25954.44
02/19/19, 25849.85, 25961.44, 25820.01, 25891.32
02/15/19, 25564.63, 25883.72, 25564.63, 25883.25
02/14/19, 25460.65, 25558.90, 25308.09, 25439.39
02/13/19, 25480.86, 25625.95, 25480.86, 25543.27
02/12/19, 25152.03, 25458.98, 25152.03, 25425.76
02/11/19, 25142.81, 25196.75, 25009.10, 25053.11
02/08/19, 25042.36, 25106.39, 24883.04, 25106.33
02/07/19, 25265.81, 25314.26, 25000.52, 25169.53
02/06/19, 25371.57, 25439.04, 25312.06, 25390.30
02/05/19, 25287.93, 25427.32, 25287.65, 25411.52
02/04/19, 25062.12, 25239.91, 24977.67, 25239.37
02/01/19, 25025.31, 25193.15, 24982.49, 25063.89
01/31/19, 24954.48, 25049.62, 24842.09, 24999.67
01/30/19, 24826.52, 25109.62, 24790.90, 25014.86
01/29/19, 24519.62, 24674.87, 24504.04, 24579.96
01/28/19, 24596.98, 24596.98, 24323.94, 24528.22
01/25/19, 24687.21, 24860.15, 24676.75, 24737.20
01/24/19, 24579.96, 24626.30, 24422.73, 24553.24
01/23/19, 24577.25, 24700.98, 24307.17, 24575.62
01/22/19, 24607.76, 24607.76, 24244.31, 24404.48
01/18/19, 24534.19, 24750.22, 24459.03, 24706.35
01/17/19, 24147.09, 24474.46, 24088.90, 24370.10
01/16/19, 24139.91, 24288.61, 24119.72, 24207.16
01/15/19, 23914.11, 24099.14, 23887.93, 24065.59
01/14/19, 23880.53, 23964.90, 23765.24, 23909.84
01/11/19, 23940.01, 23996.32, 23798.16, 23995.95
01/10/19, 23811.11, 24014.78, 23703.25, 24001.92
01/09/19, 23844.27, 23985.45, 23776.56, 23879.12
01/08/19, 23680.32, 23864.65, 23581.45, 23787.45
01/07/19, 23474.26, 23687.74, 23301.59, 23531.35
01/04/19, 22894.92, 23518.64, 22894.92, 23433.16
01/03/19, 23176.39, 23176.39, 22638.41, 22686.22
01/02/19, 23058.61, 23413.47, 22928.59, 23346.24
12/31/18, 23153.94, 23333.18, 23118.30, 23327.46
12/28/18, 23213.61, 23381.88, 22981.33, 23062.40
12/27/18, 22629.06, 23138.89, 22267.42, 23138.82
12/26/18, 21857.73, 22878.92, 21712.53, 22878.45
12/24/18, 22317.28, 22339.87, 21792.20, 21792.20
12/21/18, 22871.74, 23254.59, 22396.34, 22445.37
12/20/18, 23224.12, 23282.20, 22644.31, 22859.60
12/19/18, 23693.33, 24057.34, 23162.64, 23323.66
12/18/18, 23769.13, 23927.77, 23516.02, 23675.64
12/17/18, 23986.83, 24088.08, 23456.88, 23592.98
12/14/18, 24408.04, 24431.14, 24033.79, 24100.51
12/13/18, 24575.86, 24740.96, 24473.29, 24597.38
12/12/18, 24509.09, 24828.29, 24509.09, 24527.27
12/11/18, 24719.91, 24791.26, 24221.06, 24370.24
12/10/18, 24360.95, 24500.81, 23881.37, 24423.26
12/07/18, 24918.82, 25095.62, 24284.78, 24388.95
12/06/18, 24737.42, 24951.01, 24242.22, 24947.67
12/04/18, 25752.56, 25773.12, 25008.11, 25027.07
12/03/18, 25779.57, 25980.21, 25670.51, 25826.43
11/30/18, 25307.14, 25549.71, 25250.97, 25538.46
11/29/18, 25343.65, 25479.04, 25202.79, 25338.84
11/28/18, 24832.84, 25368.93, 24832.84, 25366.43
11/27/18, 24557.02, 24750.73, 24416.03, 24748.73
11/26/18, 24364.13, 24673.29, 24364.13, 24640.24
11/23/18, 24336.40, 24408.80, 24268.74, 24285.95
11/21/18, 24541.65, 24669.79, 24463.28, 24464.69
11/20/18, 24618.68, 24707.26, 24368.98, 24465.64
11/19/18, 25392.61, 25392.61, 24900.98, 25017.44
11/16/18, 25242.35, 25510.23, 25147.80, 25413.22
11/15/18, 25061.48, 25354.56, 24787.79, 25289.27
11/14/18, 25388.08, 25501.29, 24935.82, 25080.50
11/13/18, 25321.21, 25511.03, 25193.78, 25286.49
11/12/18, 25959.33, 25966.71, 25340.51, 25387.18
11/09/18, 26149.11, 26161.49, 25882.91, 25989.30
11/08/18, 26139.59, 26277.82, 26081.90, 26191.22
11/07/18, 25788.46, 26200.14, 25765.88, 26180.30
11/06/18, 25452.83, 25651.86, 25444.90, 25635.01
11/05/18, 25261.47, 25507.35, 25261.47, 25461.70
11/02/18, 25443.60, 25578.98, 25078.72, 25270.83
11/01/18, 25142.08, 25396.47, 25108.11, 25380.74
10/31/18, 25008.82, 25336.55, 25008.82, 25115.76
10/30/18, 24482.04, 24906.68, 24415.69, 24874.64
10/29/18, 24818.98, 25040.58, 24122.23, 24442.92
10/26/18, 24770.25, 24916.16, 24445.19, 24688.31
